ownerage,ednyears,male,ageoffirm,ownershours,country
43,5,0,14,35,Sri Lanka
45,9,0,8,25,Sri Lanka
43,8,0,13,42,Sri Lanka
41,11,0,6,30,Sri Lanka
42,11,0,6,25,Sri Lanka
27,12,0,4,28,Sri Lanka
43,11,0,23,35,Sri Lanka
40,12,0,11,28,Sri Lanka
40,13,0,8,56,Sri Lanka
26,13,0,4,28,Sri Lanka
42,5,0,10,35,Sri Lanka
43,11,0,19,28,Sri Lanka
42,11,0,4,35,Sri Lanka
32,11,0,6,35,Sri Lanka
44,11,0,6,40,Sri Lanka
39,11,0,7,35,Sri Lanka
31,10,0,16,40,Sri Lanka
38,8,0,10,35,Sri Lanka
44,12,0,6,35,Sri Lanka
36,11,0,3,35,Sri Lanka
33,13,0,2,40,Sri Lanka
34,11,0,5,42,Sri Lanka
39,14,0,12,60,Sri Lanka
33,11,0,16,40,Sri Lanka
28,11,0,26,35,Sri Lanka
27,11,0,24,60,Sri Lanka
39,11,0,5,80,Sri Lanka
29,13,0,1,15,Sri Lanka
40,18,0,20,25,Sri Lanka
38,8,0,5,25,Sri Lanka
36,11,0,2,18,Sri Lanka
29,11,0,11,40,Sri Lanka
44,8,0,6,40,Sri Lanka
44,3,0,5,45,Sri Lanka
40,10,0,3,30,Sri Lanka
31,11,0,3,21,Sri Lanka
35,3,0,5,75,Sri Lanka
43,8,0,3,30,Sri Lanka
41,11,0,5,10,Sri Lanka
30,10,0,1,14,Sri Lanka
37,10,0,20,40,Sri Lanka
30,10,0,5,56,Sri Lanka
39,14,0,11,18,Sri Lanka
37,10,0,5,56,Sri Lanka
40,10,0,2,70,Sri Lanka
38,12,0,4,90,Sri Lanka
39,12,0,2,56,Sri Lanka
45,12,0,20,30,Sri Lanka
27,17,0,6,84,Sri Lanka
38,10,0,1,21,Sri Lanka
43,3,0,26,30,Sri Lanka
45,11,0,11,42,Sri Lanka
36,10,0,1,85,Sri Lanka
44,9,0,9,28,Sri Lanka
38,11,0,4,49,Sri Lanka
36,6,0,3,56,Sri Lanka
45,11,0,17,28,Sri Lanka
38,11,0,4,42,Sri Lanka
30,9,0,3,42,Sri Lanka
42,11,0,6,21,Sri Lanka
43,13,0,6,35,Sri Lanka
34,13,0,6,28,Sri Lanka
32,11,0,6,45,Sri Lanka
33,12,0,5,35,Sri Lanka
41,9,0,21,30,Sri Lanka
40,13,0,11,70,Sri Lanka
44,11,0,11,35,Sri Lanka
29,11,0,9,60,Sri Lanka
39,4,0,15,75,Sri Lanka
44,11,0,1,45,Sri Lanka
44,11,0,14,40,Sri Lanka
44,9,0,3,35,Sri Lanka
42,10,0,3,40,Sri Lanka
40,12,0,15,80,Sri Lanka
30,13,0,6,80,Sri Lanka
34,10,0,6,100,Sri Lanka
45,11,0,3,45,Sri Lanka
35,11,0,6,30,Sri Lanka
34,12,0,5,35,Sri Lanka
32,10,0,4,30,Sri Lanka
37,10,0,5,35,Sri Lanka
38,13,0,8,40,Sri Lanka
29,13,0,8,40,Sri Lanka
39,11,0,29,56,Sri Lanka
38,5,0,13,72,Sri Lanka
42,8,0,15,56,Sri Lanka
40,8,0,3,42,Sri Lanka
42,11,0,5,56,Sri Lanka
35,12,0,4,60,Sri Lanka
36,13,0,3,70,Sri Lanka
40,14,0,10,42,Sri Lanka
32,11,0,1,42,Sri Lanka
35,11,0,7,56,Sri Lanka
43,11,0,10,35,Sri Lanka
31,13,0,8,60,Sri Lanka
33,13,0,3,60,Sri Lanka
43,11,0,4,56,Sri Lanka
41,13,0,3,42,Sri Lanka
42,12,0,5,70,Sri Lanka
38,8,0,11,70,Sri Lanka
35,10,0,9,20,Sri Lanka
43,8,0,21,28,Sri Lanka
42,6,0,1,28,Sri Lanka
35,10,0,19,56,Sri Lanka
35,13,0,1,35,Sri Lanka
33,11,0,4,49,Sri Lanka
25,11,0,4,49,Sri Lanka
45,4,0,29,49,Sri Lanka
37,11,0,19,63,Sri Lanka
29,11,0,7,63,Sri Lanka
40,5,0,27,63,Sri Lanka
30,11,0,1,28,Sri Lanka
45,11,0,20,35,Sri Lanka
27,13,0,3,35,Sri Lanka
45,9,0,29,56,Sri Lanka
35,11,0,9,35,Sri Lanka
43,11,0,4,28,Sri Lanka
44,9,0,14,56,Sri Lanka
31,11,0,14,35,Sri Lanka
45,11,0,14,35,Sri Lanka
40,11,0,14,98,Sri Lanka
44,5,0,21,56,Sri Lanka
25,7,0,21,84,Sri Lanka
32,11,0,7,70,Sri Lanka
41,11,0,14,42,Sri Lanka
42,11,0,6,21,Sri Lanka
40,18,0,11,70,Sri Lanka
33,11,0,1,28,Sri Lanka
42,13,0,6,36,Sri Lanka
31,11,0,1,28,Sri Lanka
35,5,0,7,21,Sri Lanka
29,11,0,5,32,Sri Lanka
37,10,0,2,28,Sri Lanka
25,11,0,9,54,Sri Lanka
32,11,0,4,60,Sri Lanka
25,10,0,2,28,Sri Lanka
40,11,0,14,60,Sri Lanka
27,11,0,4,27,Sri Lanka
28,11,0,5,28,Sri Lanka
41,8,0,2,70,Sri Lanka
40,9,0,6,70,Sri Lanka
44,11,0,9,42,Sri Lanka
38,11,0,7,42,Sri Lanka
37,11,0,5,70,Sri Lanka
38,13,0,13,21,Sri Lanka
40,13,0,13,60,Sri Lanka
25,11,0,19,70,Sri Lanka
33,11,0,14,42,Sri Lanka
38,11,0,1,35,Sri Lanka
45,13,0,1,35,Sri Lanka
35,2,0,12,70,Sri Lanka
41,11,0,7,49,Sri Lanka
29,15,0,9,35,Sri Lanka
42,13,0,14,70,Sri Lanka
42,8,0,9,35,Sri Lanka
40,11,0,4,49,Sri Lanka
39,13,0,4,70,Sri Lanka
38,11,0,1,25,Sri Lanka
35,11,0,1,25,Sri Lanka
43,11,0,1,20,Sri Lanka
33,11,0,6,40,Sri Lanka
26,10,0,1,56,Sri Lanka
27,8,0,2,30,Sri Lanka
31,8,0,4,35,Sri Lanka
44,9,0,21,40,Sri Lanka
25,13,0,5,23,Sri Lanka
45,11,0,16,40,Sri Lanka
26,11,0,1,30,Sri Lanka
37,11,0,9,25,Sri Lanka
42,11,0,4,40,Sri Lanka
42,13,0,23,30,Sri Lanka
30,14,0,9,30,Sri Lanka
43,13,0,1,56,Sri Lanka
27,11,0,3,36,Sri Lanka
35,11,0,4,63,Sri Lanka
44,11,0,17,65,Sri Lanka
45,11,0,2,28,Sri Lanka
40,10,0,5,35,Sri Lanka
32,11,0,2,56,Sri Lanka
29,13,0,3,49,Sri Lanka
42,8,0,9,45,Sri Lanka
41,11,0,2,25,Sri Lanka
39,11,0,8,35,Sri Lanka
35,11,0,2,40,Sri Lanka
28,13,0,2,30,Sri Lanka
41,13,0,9,70,Sri Lanka
30,13,0,6,25,Sri Lanka
43,11,0,3,58,Sri Lanka
28,11,0,24,80,Sri Lanka
40,13,0,6,45,Sri Lanka
40,18,0,11,60,Sri Lanka
29,11,0,5,50,Sri Lanka
27,13,0,2,25,Sri Lanka
37,11,0,8,32,Sri Lanka
45,13,0,10,60,Sri Lanka
42,5,0,6,25,Sri Lanka
35,10,0,10,25,Sri Lanka
42,10,0,7,40,Sri Lanka
32,11,0,2,24,Sri Lanka
45,11,0,5,70,Sri Lanka
37,8,0,2,40,Sri Lanka
44,11,0,16,20,Sri Lanka
28,11,0,1,42,Sri Lanka
45,5,0,29,50,Sri Lanka
44,11,0,13,49,Sri Lanka
42,11,0,4,35,Sri Lanka
35,13,0,4,40,Sri Lanka
43,6,0,6,70,Sri Lanka
34,11,0,10,40,Sri Lanka
27,11,0,1,40,Sri Lanka
35,12,0,11,45,Sri Lanka
34,11,0,4,25,Sri Lanka
37,11,0,11,60,Sri Lanka
38,13,0,4,42,Sri Lanka
30,11,0,6,42,Sri Lanka
36,11,0,1,60,Sri Lanka
41,11,0,14,25,Sri Lanka
37,12,0,3,72,Sri Lanka
44,13,0,21,40,Sri Lanka
42,13,0,7,50,Sri Lanka
39,11,0,9,40,Sri Lanka
29,11,0,4,50,Sri Lanka
36,11,0,6,60,Sri Lanka
30,13,0,29,70,Sri Lanka
43,11,0,8,70,Sri Lanka
44,11,0,10,50,Sri Lanka
44,13,0,14,50,Sri Lanka
32,5,0,10,56,Sri Lanka
44,13,0,14,40,Sri Lanka
39,14,0,19,30,Sri Lanka
26,11,0,4,60,Sri Lanka
37,11,0,2,25,Sri Lanka
45,11,0,29,56,Sri Lanka
44,7,0,3,70,Sri Lanka
25,11,0,6,36,Sri Lanka
44,10,0,11,60,Sri Lanka
45,4,0,12,42,Sri Lanka
43,9,0,15,56,Sri Lanka
36,10,0,9,60,Sri Lanka
38,10,0,14,56,Sri Lanka
30,10,0,5,42,Sri Lanka
25,8,0,3,49,Sri Lanka
35,11,0,7,56,Sri Lanka
43,10,0,13,42,Sri Lanka
36,13,0,2,24,Sri Lanka
25,13,0,1,56,Sri Lanka
28,11,0,7,56,Sri Lanka
33,11,0,5,60,Sri Lanka
40,6,0,1,30,Sri Lanka
36,13,0,4,50,Sri Lanka
30,13,0,4,30,Sri Lanka
41,13,0,3,70,Sri Lanka
36,13,0,2,70,Sri Lanka
35,11,0,3,30,Sri Lanka
39,10,0,2,30,Sri Lanka
31,10,0,4,30,Sri Lanka
43,13,0,3,56,Sri Lanka
40,11,0,59,90,Sri Lanka
37,11,0,2,60,Sri Lanka
38,13,0,3,20,Sri Lanka
37,11,0,9,35,Sri Lanka
44,4,0,12,35,Sri Lanka
45,5,0,26,84,Sri Lanka
42,10,0,9,48,Sri Lanka
31,11,0,4,35,Sri Lanka
44,13,0,49,35,Sri Lanka
41,13,0,2,35,Sri Lanka
44,11,0,4,75,Sri Lanka
34,10,0,24,45,Sri Lanka
27,11,0,26,35,Sri Lanka
38,11,0,11,42,Sri Lanka
38,13,0,24,60,Sri Lanka
45,8,0,21,35,Sri Lanka
29,11,0,1,35,Sri Lanka
38,7,0,9,48,Sri Lanka
42,13,0,1,42,Sri Lanka
28,10,0,1,48,Sri Lanka
45,10,0,1,28,Sri Lanka
37,13,0,2,42,Sri Lanka
44,11,0,7,35,Sri Lanka
35,9,0,3,42,Sri Lanka
42,9,0,5,48,Sri Lanka
45,6,0,4,42,Sri Lanka
39,6,0,2,25,Sri Lanka
39,10,0,4,48,Sri Lanka
29,8,0,2,52,Sri Lanka
40,10,0,2,28,Sri Lanka
35,11,0,3,21,Sri Lanka
32,6,0,3,20,Sri Lanka
35,11,0,21,56,Sri Lanka
35,11,0,19,60,Sri Lanka
31,11,0,1,80,Sri Lanka
40,16,0,4,21,Sri Lanka
38,13,0,13,35,Sri Lanka
39,11,0,4,25,Sri Lanka
37,13,0,10,21,Sri Lanka
37,11,0,11,40,Sri Lanka
37,6,0,14,28,Sri Lanka
37,11,0,9,22,Sri Lanka
